id,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id,total_additions,total_deletions,author_total_additions,author_total_deletions
159175,1452905673,-8,mm/memory.c,2,3,4,8776,6854,1278,1781
159202,1452905629,-8,mm/memory.c,6,0,4,8776,6854,1278,1781
159222,1452905622,-8,mm/memory.c,1,1,4,8776,6854,1278,1781
159233,1452905619,-8,mm/memory.c,3,15,4,8776,6854,1278,1781
159295,1452905562,-8,mm/memory.c,1,1,4,8776,6854,1278,1781
159304,1452905555,-8,mm/memory.c,2,1,4,8776,6854,1278,1781
159316,1452905540,-8,mm/memory.c,13,14,4,8776,6854,1278,1781
159325,1452905536,-8,mm/memory.c,7,7,4,8776,6854,1278,1781
159335,1452905527,-8,mm/memory.c,1,1,4,8776,6854,1278,1781
159838,1452813612,-8,mm/memory.c,17,0,6,8776,6854,38,8
159868,1452813566,-8,mm/memory.c,10,20,2935,8776,6854,11,21
160660,1451448740,-8,mm/memory.c,23,2,60,8776,6854,23,2
180631,1447675755,2,mm/memory.c,4,4,3256,8776,6854,4,4
192999,1444948112,-7,mm/memory.c,2,0,38,8776,6854,34,9
209076,1441838375,-7,mm/memory.c,2,2,4,8776,6854,1278,1781
209674,1441749585,-7,mm/memory.c,4,4,4,8776,6854,1278,1781
209676,1441749582,-7,mm/memory.c,2,9,4,8776,6854,1278,1781
209685,1441749565,-7,mm/memory.c,8,3,1506,8776,6854,32,9
209706,1441749528,-7,mm/memory.c,24,6,1506,8776,6854,32,9
209724,1441749508,-7,mm/memory.c,4,4,1651,8776,6854,4,4
210168,1441406902,-7,mm/memory.c,5,5,3674,8776,6854,5,5
210247,1441406780,-7,mm/memory.c,16,0,20,8776,6854,270,65
234637,1436213917,3,mm/memory.c,13,7,4,8776,6854,1278,1781
237928,1435190247,-7,mm/memory.c,6,4,3636,8776,6854,291,245
238433,1434702553,2,mm/memory.c,1,1,6128,8776,6854,4,2
255975,1431359527,2,mm/memory.c,6,12,789,8776,6854,6,12
266039,1429139711,-7,mm/memory.c,38,4,6552,8776,6854,38,4
266040,1429139708,-7,mm/memory.c,5,6,362,8776,6854,5,6
266077,1429139648,-7,mm/memory.c,1,1,5414,8776,6854,1,1
266831,1429051595,-7,mm/memory.c,47,38,6567,8776,6854,272,214
266832,1429051592,-7,mm/memory.c,145,119,6567,8776,6854,272,214
266833,1429051589,-7,mm/memory.c,12,9,6567,8776,6854,272,214
266834,1429051585,-7,mm/memory.c,68,48,6567,8776,6854,272,214
276064,1427324142,-7,mm/memory.c,2,1,3636,8776,6854,291,245
276066,1427324140,-7,mm/memory.c,3,5,3636,8776,6854,291,245
276069,1427324137,-7,mm/memory.c,11,8,3636,8776,6854,291,245
281926,1426175146,-7,mm/memory.c,6,1,92,8776,6854,265,123
290243,1424131130,-8,mm/memory.c,32,9,3437,8776,6854,34,11
290245,1424131126,-8,mm/memory.c,1,0,3437,8776,6854,34,11
291257,1423782019,-8,mm/memory.c,1,1,2109,8776,6854,1,1
291344,1423781921,-8,mm/memory.c,3,0,3636,8776,6854,291,245
291348,1423781915,-8,mm/memory.c,0,1,3636,8776,6854,291,245
291361,1423781908,-8,mm/memory.c,6,4,3636,8776,6854,291,245
291376,1423781902,-8,mm/memory.c,2,2,3636,8776,6854,291,245
291676,1423697210,-8,mm/memory.c,9,6,4,8776,6854,1278,1781
292074,1423606290,-8,mm/memory.c,17,31,1252,8776,6854,192,122
292075,1423606288,-8,mm/memory.c,2,5,1252,8776,6854,192,122
292141,1423606204,-8,mm/memory.c,38,40,4,8776,6854,1278,1781
292179,1423606191,-8,mm/memory.c,9,55,4,8776,6854,1278,1781
292182,1423606189,-8,mm/memory.c,21,60,4,8776,6854,1278,1781
296110,1422558917,-8,mm/memory.c,1,1,92,8776,6854,265,123
297033,1418914095,0,mm/memory.c,2,0,1583,8776,6854,2,0
305398,1421089855,0,mm/memory.c,4,4,411,8776,6854,19,27
307034,1420756338,-8,mm/memory.c,17,10,1252,8776,6854,192,122
307654,1420578005,-8,mm/memory.c,2,2,92,8776,6854,265,123
309527,1419274914,2,mm/memory.c,2,2,4,8776,6854,1278,1781
310282,1418948249,-8,mm/memory.c,6,0,1510,8776,6854,7,11
310403,1417984893,1,mm/memory.c,10,1,146,8776,6854,10,1
310430,1418846344,-8,mm/memory.c,3,3,92,8776,6854,265,123
311476,1418432127,-8,mm/memory.c,1,0,4210,8776,6854,1,0
311495,1418432082,-8,mm/memory.c,2,2,16,8776,6854,6,6
311519,1418432061,-8,mm/memory.c,4,4,16,8776,6854,6,6
314800,1417564779,-8,mm/memory.c,13,13,25,8776,6854,143,139
323296,1414576989,0,mm/memory.c,8,21,411,8776,6854,19,27
332932,1414527388,-7,mm/memory.c,1,0,411,8776,6854,19,27
333759,1414058864,2,mm/memory.c,1,1,4787,8776,6854,2,7
338846,1413240946,-7,mm/memory.c,2,1,2207,8776,6854,3,2
343876,1411686329,-7,mm/memory.c,1,1,2207,8776,6854,3,2
349885,1410553043,2,mm/memory.c,2,0,499,8776,6854,2,0
356638,1409350724,-7,mm/memory.c,3,4,25,8776,6854,143,139
362952,1407533020,-7,mm/memory.c,0,38,3503,8776,6854,0,38
363237,1407532762,-7,mm/memory.c,0,2,1252,8776,6854,192,122
363254,1407532760,-7,mm/memory.c,20,20,1252,8776,6854,192,122
363788,1407366492,-7,mm/memory.c,4,2,2413,8776,6854,145,37
363790,1407366487,-7,mm/memory.c,2,1,4,8776,6854,1278,1781
363791,1407366485,-7,mm/memory.c,7,14,4,8776,6854,1278,1781
363819,1407366444,-7,mm/memory.c,31,3,7993,8776,6854,31,3
363836,1407366425,-7,mm/memory.c,1,1,2213,8776,6854,11,5
363846,1407366416,-7,mm/memory.c,1,1,2935,8776,6854,11,21
363919,1407366308,-7,mm/memory.c,1,1,25,8776,6854,143,139
366336,1406761715,-7,mm/memory.c,12,9,6100,8776,6854,12,9
369281,1406149208,-7,mm/memory.c,2,1,1507,8776,6854,2,1
389991,1401923455,-7,mm/memory.c,27,0,4,8776,6854,1278,1781
389992,1401923454,-7,mm/memory.c,23,38,4,8776,6854,1278,1781
390002,1401923445,-7,mm/memory.c,1,1,4,8776,6854,1278,1781
390133,1401923290,-7,mm/memory.c,0,641,4,8776,6854,1278,1781
390304,1401923190,-7,mm/memory.c,6,10,3636,8776,6854,291,245
404310,1398800175,-4,mm/memory.c,0,3,2413,8776,6854,145,37
408399,1398467140,-7,mm/memory.c,34,18,92,8776,6854,265,123
410025,1398199780,-7,mm/memory.c,5,0,92,8776,6854,265,123
414430,1396910271,-7,mm/memory.c,1,1,6128,8776,6854,4,2
414441,1396910266,-7,mm/memory.c,3,3,5647,8776,6854,9,4
414490,1396910242,-7,mm/memory.c,60,7,4,8776,6854,1278,1781
414508,1396910238,-7,mm/memory.c,76,4,4,8776,6854,1278,1781
414525,1396910221,-7,mm/memory.c,2,2,7687,8776,6854,2,2
415217,1396600102,-7,mm/memory.c,44,21,25,8776,6854,143,139
415613,1396561696,-7,mm/memory.c,30,35,4,8776,6854,1278,1781
415614,1396561695,-7,mm/memory.c,45,59,4,8776,6854,1278,1781
415615,1396561693,-7,mm/memory.c,64,161,4,8776,6854,1278,1781
415616,1396561692,-7,mm/memory.c,62,0,4,8776,6854,1278,1781
415617,1396561691,-7,mm/memory.c,43,0,4,8776,6854,1278,1781
415618,1396561690,-7,mm/memory.c,44,31,4,8776,6854,1278,1781
415619,1396561688,-7,mm/memory.c,5,5,4,8776,6854,1278,1781
415625,1396561682,-7,mm/memory.c,2,2,7829,8776,6854,2,2
430963,1393369302,-8,mm/memory.c,3,11,4,8776,6854,1278,1781
430966,1393369299,-8,mm/memory.c,1,0,4,8776,6854,1278,1781
443053,1390521174,-8,mm/memory.c,4,4,3883,8776,6854,4,4
443070,1390521169,-8,mm/memory.c,1,1,3640,8776,6854,2,1
444204,1390348147,-8,mm/memory.c,11,2,4,8776,6854,1278,1781
444300,1390348092,-8,mm/memory.c,3,0,197,8776,6854,31,15
445853,1415846769,11,mm/memory.c,2,1,376,8776,6854,2,1
454047,1387578485,-8,mm/memory.c,1,1,1401,8776,6854,1,1
454142,1387539358,2,mm/memory.c,1,1,4,8776,6854,1278,1781
466577,1384987307,-8,mm/memory.c,0,7,92,8776,6854,265,123
467824,1384468313,-8,mm/memory.c,7,0,4,8776,6854,1278,1781
467828,1384468312,-8,mm/memory.c,5,6,86,8776,6854,64,44
467834,1384468311,-8,mm/memory.c,19,0,4,8776,6854,1278,1781
467884,1384468264,-8,mm/memory.c,7,5,4,8776,6854,1278,1781
467910,1384468248,-8,mm/memory.c,2,2,4,8776,6854,1278,1781
468873,1384297635,-8,mm/memory.c,0,2,2104,8776,6854,15,4
474357,1381141725,1,mm/memory.c,21,32,3636,8776,6854,291,245
475868,1379881672,-4,mm/memory.c,1,1,1107,8776,6854,87,61
478959,1381956419,-7,mm/memory.c,12,6,1252,8776,6854,192,122
478966,1381956411,-7,mm/memory.c,2,0,2213,8776,6854,11,5
482728,1381141776,1,mm/memory.c,4,4,2413,8776,6854,145,37
482732,1381141774,1,mm/memory.c,7,0,2413,8776,6854,145,37
482751,1381141765,1,mm/memory.c,3,97,3636,8776,6854,291,245
482756,1381141764,1,mm/memory.c,26,4,86,8776,6854,64,44
482766,1381141761,1,mm/memory.c,8,0,86,8776,6854,64,44
482773,1381141760,1,mm/memory.c,6,9,86,8776,6854,64,44
482822,1381141747,1,mm/memory.c,6,9,3636,8776,6854,291,245
482832,1381141745,1,mm/memory.c,2,5,3636,8776,6854,291,245
482839,1381141743,1,mm/memory.c,6,2,3636,8776,6854,291,245
482874,1381141730,1,mm/memory.c,1,0,3636,8776,6854,291,245
482882,1381141725,1,mm/memory.c,21,32,3636,8776,6854,291,245
491242,1379024045,-7,mm/memory.c,6,3,4,8776,6854,1278,1781
491298,1379024024,-7,mm/memory.c,3,0,1252,8776,6854,192,122
491305,1379024022,-7,mm/memory.c,30,10,1252,8776,6854,192,122
491768,1378934524,-7,mm/memory.c,15,2,2104,8776,6854,15,4
491805,1378934488,-7,mm/memory.c,0,24,2269,8776,6854,0,24
501245,1376592145,-7,mm/memory.c,21,15,92,8776,6854,265,123
502327,1376434851,-7,mm/memory.c,6,4,2213,8776,6854,11,5
502334,1376434849,-7,mm/memory.c,2,0,2213,8776,6854,11,5
502895,1375873372,2,mm/memory.c,1,0,381,8776,6854,1,0
514605,1373324418,-7,mm/memory.c,1,1,467,8776,6854,12,15
516107,1372889061,-7,mm/memory.c,0,2,6352,8776,6854,0,2
516174,1372889011,-7,mm/memory.c,6,3,516,8776,6854,6,3
516372,1372888886,-7,mm/memory.c,1,1,1739,8776,6854,1,1
527717,1370428010,2,mm/memory.c,0,9,86,8776,6854,64,44
531316,1369578743,3,mm/memory.c,7,4,76,8776,6854,10,5
531318,1369578733,3,mm/memory.c,2,1,76,8776,6854,10,5
539837,1367273295,-7,mm/memory.c,5,0,1186,8776,6854,14,0
540336,1355336352,-8,mm/memory.c,4,4,467,8776,6854,12,15
544511,1366145137,-7,mm/memory.c,47,0,92,8776,6854,265,123
545612,1365809034,-7,mm/memory.c,1,0,3640,8776,6854,2,1
566072,1361579770,-8,mm/memory.c,8,10,25,8776,6854,143,139
566076,1361579767,-8,mm/memory.c,18,2,25,8776,6854,143,139
566086,1361579756,-8,mm/memory.c,23,8,9015,8776,6854,144,113
566091,1361579755,-8,mm/memory.c,9,9,9015,8776,6854,144,113
566152,1361579708,-8,mm/memory.c,9,9,25,8776,6854,143,139
566214,1361579672,-8,mm/memory.c,4,0,8388,8776,6854,329,213
566347,1361579564,-8,mm/memory.c,0,24,9015,8776,6854,144,113
566376,1361579540,-8,mm/memory.c,4,1,1252,8776,6854,192,122
581824,1358750859,10,mm/memory.c,1,1,2302,8776,6854,2,1
586340,1357749414,-8,mm/memory.c,8,0,92,8776,6854,265,123
