,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
1148027,1148027,1217671263,2,mm/memory.c,1,1,13821
1148084,1148084,1217882474,-7,mm/memory.c,13,3,9069
1148365,1148365,1217621295,-5,mm/memory.c,0,2,12583
1149165,1149165,1217396041,-7,mm/memory.c,2,0,12583
1149181,1149181,1217396033,-7,mm/memory.c,23,0,12583
1149649,1149649,1217285189,-7,mm/memory.c,29,5,17903
1151303,1151303,1217040383,-7,mm/memory.c,2,1,16606
1153912,1153912,1216873670,-7,mm/memory.c,11,4,17328
1153928,1153928,1216873663,-7,mm/memory.c,16,2,17328
1153948,1153948,1216873661,-7,mm/memory.c,1,1,17328
1153974,1153974,1216873645,-7,mm/memory.c,1,1,12277
1154016,1154016,1216873630,-7,mm/memory.c,6,4,13726
1154035,1154035,1216873625,-7,mm/memory.c,110,20,2413
1154037,1154037,1216873625,-7,mm/memory.c,7,59,13821
1165116,1165116,1215190768,-7,mm/memory.c,1,1,17424
1165120,1165120,1215190764,-7,mm/memory.c,13,1,8388
1167270,1167270,1214224230,2,mm/memory.c,26,1,13821
1167271,1167271,1214245297,-7,mm/memory.c,21,2,92
1167714,1167714,1213985905,-7,mm/memory.c,13,4,92
1172233,1172233,1211573058,-7,mm/memory.c,0,2,13821
1174795,1174795,1210739856,2,mm/memory.c,21,0,13821
1176431,1176431,1210103363,1,mm/memory.c,4,1,16800
1180925,1180925,1209373981,-7,mm/memory.c,58,27,13821
1180950,1180950,1209373980,-7,mm/memory.c,53,45,13821
1180952,1180952,1209373978,-7,mm/memory.c,57,21,18195
1181079,1181079,1209373930,-7,mm/memory.c,5,17,13821
1197631,1197631,1204669744,-8,mm/memory.c,3,6,16800
1197632,1197632,1204669744,-8,mm/memory.c,2,2,16800
1200383,1200383,1203046724,-8,mm/memory.c,1,1,15137
1200594,1200594,1202930466,1,mm/memory.c,7,0,8898
1201063,1201063,1202771853,-7,mm/memory.c,2,0,536
1201757,1201757,1202473324,-8,mm/memory.c,15,17,82
1203792,1203792,1202372042,-8,mm/memory.c,5,5,13450
1203823,1203823,1202372033,-8,mm/memory.c,39,7,13450
1204538,1204538,1202333984,1,mm/memory.c,12,1,8898
1205789,1205789,1202192974,-8,mm/memory.c,5,4,13821
1205802,1205802,1202192966,-8,mm/memory.c,2,1,13778
1205864,1205864,1202192954,-8,mm/memory.c,5,5,435
1205905,1205905,1202192936,-8,mm/memory.c,33,35,108
1205926,1205926,1202192922,-8,mm/memory.c,2,1,16800
1205931,1205931,1202192921,-8,mm/memory.c,1,44,16800
1205934,1205934,1202192920,-8,mm/memory.c,14,33,16800
1205954,1205954,1202192911,-8,mm/memory.c,0,40,17980
1211455,1211455,1201696398,1,mm/memory.c,31,0,17328
1212177,1212177,1201696280,1,mm/memory.c,3,5,13821
1223592,1223592,1201044078,3,mm/memory.c,6,0,18744
1224130,1224130,1200612077,-8,mm/memory.c,2,0,12006
1228357,1228357,1195088433,-8,mm/memory.c,1,1,13450
1228429,1228429,1195088373,-8,mm/memory.c,1,1,15625
1229313,1229313,1194018208,1,mm/memory.c,0,1,16606
1232020,1232020,1192836438,2,mm/memory.c,1,1,18901
1233514,1233514,1192775954,-7,mm/memory.c,0,3,435
1237750,1237750,1192523144,-7,mm/memory.c,1,7,11354
1237899,1237899,1192523085,-7,mm/memory.c,1,1,17161
1237916,1237916,1192523080,-7,mm/memory.c,21,129,13821
1249839,1249839,1191862477,2,mm/memory.c,7,2,86
1250011,1250011,1191513366,1,mm/memory.c,6,8,16800
1257136,1257136,1185017860,-7,mm/memory.c,0,2,108
1258928,1258928,1184834961,-7,mm/memory.c,1,0,2302
1259422,1259422,1184834842,-7,mm/memory.c,9,0,13821
1259454,1259454,1184834825,-7,mm/memory.c,38,41,13821
1259469,1259469,1184834823,-7,mm/memory.c,50,58,13821
1259473,1259473,1184834820,-7,mm/memory.c,9,5,18393
1259488,1259488,1184834819,-7,mm/memory.c,86,45,13821
1259501,1259501,1184834817,-7,mm/memory.c,73,79,13821
1261359,1261359,1184670185,-7,mm/memory.c,4,4,12277
1262112,1262112,1184567899,-7,mm/memory.c,0,2,13726
1262144,1262144,1184567896,-7,mm/memory.c,8,0,19285
1262164,1262164,1184567883,-7,mm/memory.c,1,1,5534
1269214,1269214,1182014172,-7,mm/memory.c,6,7,435
1272188,1272188,1179378681,-7,mm/memory.c,1,1,13821
1278376,1278376,1178488157,-7,mm/memory.c,1,1,18560
1278414,1278414,1178488142,-7,mm/memory.c,0,12,13821
1278423,1278423,1178488134,-7,mm/memory.c,94,0,9949
1296563,1296563,1171270298,-8,mm/memory.c,4,2,435
1296565,1296565,1171270296,-8,mm/memory.c,45,0,13821
1296753,1296753,1171100759,-8,mm/memory.c,1,3,18595
1297292,1297292,1171100598,-8,mm/memory.c,1,1,13748
1297368,1297368,1171100580,-8,mm/memory.c,1,2,16800
1302632,1302632,1169801809,-8,mm/memory.c,7,0,14484
1302635,1302635,1169801807,-8,mm/memory.c,2,2,14484
1303388,1303388,1167517459,0,mm/memory.c,1,1,16318
1303984,1303984,1166778573,-8,mm/memory.c,2,2,16619
1304714,1304714,1165943695,0,mm/memory.c,5,5,8100
1305917,1305917,1165745923,-8,mm/memory.c,21,11,16800
1307937,1307937,1165466415,-8,mm/memory.c,0,1,12955
1309063,1309063,1165465914,-8,mm/memory.c,1,1,20003
1316830,1316830,1161325748,-7,mm/memory.c,1,0,19485
1319308,1319308,1160120633,-7,mm/memory.c,6,3,435
1323656,1323656,1159684173,-7,mm/memory.c,8,0,17137
1323661,1323661,1159684171,-7,mm/memory.c,1,1,17137
1323662,1323662,1159684170,-7,mm/memory.c,1,1,17137
1324995,1324995,1159520322,-7,mm/memory.c,8,1,18665
1326742,1326742,1159347015,-7,mm/memory.c,53,0,122
1326753,1326753,1159347010,-7,mm/memory.c,58,5,16331
1328600,1328600,1159252282,-7,mm/memory.c,27,7,5534
1328677,1328677,1159252260,-7,mm/memory.c,13,6,8388
1328681,1328681,1159252258,-7,mm/memory.c,3,2,8388
1328686,1328686,1159252257,-7,mm/memory.c,22,6,8388
1337377,1337377,1152861877,-7,mm/memory.c,4,0,20342
1337453,1337453,1152861837,-7,mm/memory.c,1,1,20424
1338457,1338457,1152531862,-7,mm/memory.c,1,1,12955
1339225,1339225,1151911508,-7,mm/memory.c,1,1,8898
1341139,1341139,1151657745,-7,mm/memory.c,2,2,17980
1341198,1341198,1151657738,-7,mm/memory.c,2,2,17980
1350155,1350155,1151053423,-7,mm/memory.c,75,24,122
1350177,1350177,1151053415,-7,mm/memory.c,15,2,17980
1350255,1350255,1151053384,-7,mm/memory.c,0,7,17980
1361369,1361369,1143801033,-8,mm/memory.c,1,1,1326
1364692,1364692,1143365817,-8,mm/memory.c,2,0,18762
1364701,1364701,1143390652,2,mm/memory.c,2,4,16950
1364846,1364846,1143300022,1,mm/memory.c,6,2,13821
1367107,1367107,1143014938,-8,mm/memory.c,1,1,196
1367111,1367111,1143014937,-8,mm/memory.c,2,3,196
1367131,1367131,1143014922,-8,mm/memory.c,3,9,13821
1367230,1367230,1143014885,-8,mm/memory.c,1,3,13821
1370518,1370518,1142579049,-8,mm/memory.c,3,2,16800
1372667,1372667,1140129718,1,mm/memory.c,10,0,17328
1375111,1375111,1138791936,-8,mm/memory.c,7,0,17980
1381269,1381269,1136851164,-8,mm/memory.c,2,2,16331
1383556,1383556,1132088028,-5,mm/memory.c,2,0,118
1384760,1384760,1136535073,-8,mm/memory.c,0,1,16619
1384763,1384763,1136535072,-8,mm/memory.c,3,3,16619
1384835,1384835,1136535038,-8,mm/memory.c,24,1,17595
1388115,1388115,1134757283,-8,mm/memory.c,2,1,20069
1388459,1388459,1134433473,-8,mm/memory.c,1,1,20069
1388662,1388662,1134362297,-8,mm/memory.c,8,3,20069
1388664,1388664,1134359872,-8,mm/memory.c,1,45,20069
1388665,1388665,1134359162,-8,mm/memory.c,12,4,20069
1388935,1388935,1133671691,-8,mm/memory.c,1,1,20069
1389263,1389263,1133372119,-8,mm/memory.c,34,2,20069
1389313,1389313,1133310442,-5,mm/memory.c,2,2,16664
1389369,1389369,1133283348,0,mm/memory.c,3,1,16800
1389370,1389370,1133283291,0,mm/memory.c,3,4,16800
1389371,1389371,1133302075,-8,mm/memory.c,9,2,20069
1389375,1389375,1133301794,-8,mm/memory.c,14,12,20069
1389379,1389379,1133298116,-8,mm/memory.c,92,0,20069
1389380,1389380,1133293526,-8,mm/memory.c,2,2,21035
1389413,1389413,1133250197,11,mm/memory.c,1,1,16619
1389475,1389475,1133214224,-8,mm/memory.c,12,0,1287
1389485,1389485,1133217263,-8,mm/memory.c,100,88,20069
1389664,1389664,1132637539,-8,mm/memory.c,12,2,16800
1389665,1389665,1132637538,-8,mm/memory.c,41,21,16800
1389667,1389667,1132637537,-8,mm/memory.c,25,12,16800
1389676,1389676,1132637535,-8,mm/memory.c,18,12,16800
1389686,1389686,1132637531,-8,mm/memory.c,1,1,16800
1390762,1390762,1131926802,-8,mm/memory.c,54,34,6135
1397591,1397591,1130635008,-7,mm/memory.c,16,4,18581
1397606,1397606,1130635001,-7,mm/memory.c,3,1,16800
1397621,1397621,1130635000,-7,mm/memory.c,13,10,16800
1397646,1397646,1130634993,-7,mm/memory.c,71,80,16800
1397651,1397651,1130634992,-7,mm/memory.c,4,24,16800
1397660,1397660,1130634990,-7,mm/memory.c,12,29,16800
1397662,1397662,1130634989,-7,mm/memory.c,10,2,16800
1397674,1397674,1130634986,-7,mm/memory.c,90,60,16800
1397685,1397685,1130634983,-7,mm/memory.c,33,70,16800
1397689,1397689,1130634982,-7,mm/memory.c,40,55,16800
1397715,1397715,1130634981,-7,mm/memory.c,26,33,16800
1397731,1397731,1130634978,-7,mm/memory.c,1,16,16800
1397738,1397738,1130634975,-7,mm/memory.c,1,3,16800
1397739,1397739,1130634974,-7,mm/memory.c,3,3,16800
1397740,1397740,1130634973,-7,mm/memory.c,5,10,16800
1397753,1397753,1130634972,-7,mm/memory.c,79,51,16619
1397771,1397771,1130634965,-7,mm/memory.c,32,15,16800
1397780,1397780,1130634965,-7,mm/memory.c,17,14,16800
1397799,1397799,1130634963,-7,mm/memory.c,1,1,16800
1397806,1397806,1130634962,-7,mm/memory.c,2,2,16800
1397815,1397815,1130634959,-7,mm/memory.c,95,125,16800
1397828,1397828,1130634955,-7,mm/memory.c,4,3,16800
1397830,1397830,1130634954,-7,mm/memory.c,6,4,16800
1397832,1397832,1130634953,-7,mm/memory.c,8,6,16800
1401724,1401724,1129821868,1,mm/memory.c,2,12,16800
1401840,1401840,1129670112,-7,mm/memory.c,12,2,21230
1406681,1406681,1126337188,-7,mm/memory.c,1,1,12955
1410856,1410856,1125788104,-7,mm/memory.c,3,2,17137
1410894,1410894,1125788096,-7,mm/memory.c,1,1,18993
1411706,1411706,1125211751,10,mm/memory.c,11,0,16619
1414840,1414840,1123088829,-7,mm/memory.c,13,9,20069
1414850,1414850,1123064641,10,mm/memory.c,23,8,16619
1414888,1414888,1122955902,-7,mm/memory.c,6,2,16800
1414956,1414956,1122920089,-7,mm/memory.c,4,17,20069
1416143,1416143,1122489834,-7,mm/memory.c,15,10,18652
1420823,1420823,1119736473,-7,mm/memory.c,1,1,16800
1420993,1420993,1119589521,-7,mm/memory.c,1,1,19924
1422066,1422066,1119510474,-7,mm/memory.c,1,1,17311
1423294,1423294,1119399312,-7,mm/memory.c,5,5,16800
1423297,1423297,1119399311,-7,mm/memory.c,1,1,16800
1423298,1423298,1119399310,-7,mm/memory.c,10,35,16800
1426227,1426227,1116305630,-7,mm/memory.c,12,5,19477
1428752,1428752,1113942556,-7,mm/memory.c,23,13,16800
1428757,1428757,1113942555,-7,mm/memory.c,13,15,16800
1428762,1428762,1113942555,-7,mm/memory.c,114,37,16800
